"tconst","primaryTitle","releaseYear","isAdult","runtimeMinutes","genres","worldwideSalesDollars","averageRating","numVotes","directors","writers","mainCast"
"tt0053604","The Apartment",1960,0,125,"Comedy,Drama,Romance",NA,8.3,177126,"nm0000697","nm0000697,nm0224634","nm0000493, nm0000511, nm0534045, nm0001827"
"tt0053779","La Dolce Vita",1960,0,174,"Comedy,Drama",NA,8,71660,"nm0000019","nm0000019,nm0280919,nm0684083,nm0740021,nm0001596","nm0000052, nm0001179, nm0000733, nm0299014"
"tt0054047","The Magnificent Seven",1960,0,128,"Action,Adventure,Western",NA,7.7,93403,"nm0836328","nm0731679,nm0000041,nm0077159,nm0368074,nm0628305,nm0644823","nm0000989, nm0000537, nm0000314, nm0908919"
"tt0054215","Psycho",1960,0,109,"Horror,Mystery,Thriller",NA,8.5,649294,"nm0000033","nm0825010,nm0088645","nm0000578, nm0001463, nm0587256, nm0001260"
"tt0054331","Spartacus",1960,0,197,"Adventure,Biography,Drama",NA,7.9,132572,"nm0000040","nm0874308,nm0268779,nm0001811,nm0932229,nm1306202","nm0000018, nm0000059, nm0001739, nm0001452"
"tt0054997","The Hustler",1961,0,134,"Drama,Sport",NA,8,80717,"nm0744035","nm0140987,nm0744035,nm0856677","nm0000056, nm0001276, nm0001453, nm0001715"
"tt0055031","Judgment at Nuremberg",1961,0,179,"Drama,War",NA,8.3,75793,"nm0006452","nm0542631,nm0001050","nm0000075, nm0000044, nm0001847, nm0000017"
"tt0055254","One Hundred and One Dalmatians",1961,0,79,"Adventure,Animation,Comedy",NA,7.3,163944,"nm0527217,nm0314671,nm0718627","nm0670328,nm0807977","nm0001792, nm0314867, nm0641729, nm0921131"
"tt0056801","8½",1963,0,138,"Drama",NA,8,115995,"nm0000019","nm0000019,nm0280919,nm0684083,nm0740021","nm0000052, nm0000733, nm0001012, nm0590452"
"tt0058150","Goldfinger",1964,0,110,"Action,Adventure,Thriller",NA,7.7,185957,"nm0357891","nm0537363,nm0214989,nm0001220,nm0367820,nm0558435","nm0000125, nm0002085, nm0000303, nm0247881"
"tt0058331","Mary Poppins",1964,0,139,"Comedy,Family,Fantasy",NA,7.8,168305,"nm0829038","nm0909556,nm0196119,nm0871308","nm0000267, nm0001813, nm0866835, nm0424318"
