"tconst","releaseYear","genres","averageRating","numVotes","directors","writers","outcome"
"tt0472399",2011,"Action,Crime,Thriller",6.5,158734,"nm0922346","nm0921013,nm0137573","unpopular"
"tt0472033",2009,"Action,Adventure,Animation",7,138411,"nm0009942","nm0972040,nm0009942,nm0994310","unpopular"
"tt0780571",2007,"Crime,Drama,Thriller",7.3,149376,"nm0262595","nm0262595,nm0317279","unpopular"
"tt4477536",2018,"Drama,Romance,Thriller",4.5,63318,"nm0001226","nm0502727,nm1093317","popular"
"tt0117500",1996,"Action,Adventure,Thriller",7.4,330786,"nm0000881","nm0918711,nm0177018,nm0743119","popular"
"tt1323594",2010,"Adventure,Animation,Comedy",7.6,530230,"nm0719208,nm1853544","nm0666791,nm0202425,nm0655053","popular"
"tt3715320",2015,"Comedy,Crime,Drama",6.6,62501,"nm0000095","nm0000095","unpopular"
"tt0280609",2002,"Action,Horror,Thriller",6.8,59040,"nm0551076","nm0551076","unpopular"
"tt4463894",2019,"Action,Comedy,Crime",6.4,51700,"nm1103162","nm0862781,nm1244069,nm1113415","unpopular"
"tt0465551",2006,"Crime,Drama,Romance",7.4,77814,"nm0264236","nm0544999,nm0375398","unpopular"
"tt0970452",2009,"Action,Adventure,Fantasy",6.1,72933,"nm1068186","nm1068186,nm0397574","unpopular"
"tt0061852",1967,"Adventure,Animation,Comedy",7.6,177606,"nm0718627","nm0166307,nm0942723,nm0027011,nm0314788,nm0456017,nm0670328","unpopular"
"tt10919380",2020,"Comedy,Horror,Thriller",6.3,52684,"nm0484907","nm3208182,nm0484907","unpopular"
"tt0206634",2006,"Action,Drama,Sci-Fi",7.9,489966,"nm0190859","nm0190859,nm0786694,nm0033153,nm1318843,nm1319757,nm0416807","unpopular"
"tt0460791",2006,"Adventure,Drama,Fantasy",7.8,111183,"nm0802248","nm0319659,nm0815864,nm0802248,nm0678199","unpopular"
"tt0276751",2002,"Comedy,Drama,Romance",7.1,181936,"nm0919363,nm0919369","nm0394984,nm0373282,nm0919363,nm0919369","unpopular"
"tt0295297",2002,"Adventure,Family,Fantasy",7.4,609936,"nm0001060","nm0746830,nm0460141","popular"
"tt0138749",2000,"Adventure,Animation,Comedy",6.9,93246,"nm0005076,nm0074426,nm0666802","nm0744429,nm0254645,nm0456732,nm0493857","unpopular"
"tt1568338",2012,"Action,Crime,Thriller",6.6,150522,"nm1300606","nm0271854","unpopular"
"tt0114388",1995,"Drama,Romance",7.7,112911,"nm0000487","nm0000807,nm0000668","unpopular"
"tt0088933",1985,"Comedy,Drama,Sci-Fi",6.7,62206,"nm0000165","nm0070676,nm0764545","unpopular"
"tt0053125",1959,"Adventure,Mystery,Thriller",8.3,319975,"nm0000033","nm0499626","unpopular"
"tt0078748",1979,"Horror,Sci-Fi",8.5,847961,"nm0000631","nm0639321,nm0795953","popular"
"tt0787524",2015,"Biography,Drama",7.2,56095,"nm0114226","nm0114226,nm2216692","unpopular"
"tt0470752",2014,"Drama,Sci-Fi,Thriller",7.7,521280,"nm0307497","nm0307497","unpopular"
"tt8946378",2019,"Comedy,Crime,Drama",7.9,581713,"nm0426059","nm0426059","popular"
"tt0350258",2004,"Biography,Drama,Music",7.7,145576,"nm0000431","nm0000431,nm1343803","unpopular"
